Group	Dataset	mean_test_binarize_average_precision_scorer	std_test_binarize_average_precision_scorer
knr	(5Z)-7-Oxozeaenol_1242	0.4404631838668219	0.12097741216841874
knr	5-Fluorouracil_179	0.5129319689430879	0.10672156648373976
knr	681640_1046	0.16720583654907126	0.03975927854830735
knr	A-443654_86	0.2701853973605707	0.10914510705673887
knr	A-770041_55	0.3184542820828509	0.11637242081042752
knr	AICA Ribonucleotide_1001	0.4466000238358268	0.09164321500032288
knr	AKT inhibitor VIII_171	0.18951303388683	0.04473298477558035
knr	AKT inhibitor VIII_228	0.5401941161188899	0.07551310646325039
knr	AR-42_272	0.6488919767157574	0.08666170347850767
knr	AS601245_207	0.2360169128837233	0.058870626907420065
knr	AS605240_224	0.3726416842621904	0.09945597029632748
knr	AT-7519_219	0.5991628482419166	0.06819400273799177
knr	AZ628_29	0.4121662652803127	0.09391512747664993
knr	AZD6482_1066	0.289383479999448	0.0698649122423806
knr	AZD6482_156	0.2033231612827434	0.04358535275856551
knr	AZD7762_1022	0.466327371694068	0.07972972232972036
knr	AZD8055_1059	0.3804483061920861	0.09684701403206447
knr	Afatinib_1032	0.3552903925905559	0.10888432629830663
knr	Afatinib_1377	0.4093267287059337	0.11129600054262494
knr	Alectinib_281	0.3112150632243584	0.044185478308889664
knr	Amuvatinib_293	0.16700376445640666	0.044545967859832905
knr	Avagacestat_1072	0.2104629885512	0.06433709902370201
knr	Avagacestat_205	0.14123012578736968	0.05836567088003496
knr	Axitinib_1021	0.33347230644452724	0.11407902695415224
knr	BAY-61-3606_178	0.291303327250383	0.054525666233703925
knr	BI-2536_60	0.3870367322099971	0.08563015457317621
knr	BIX02189_279	0.4798595076691655	0.08664677832069527
knr	BMS-345541_203	0.36749449058862815	0.0727094381036544
knr	BMS-509744_63	0.2992296119312205	0.11321147652810833
knr	BMS-536924_1091	0.2461543531434061	0.058796836791567615
knr	BMS-536924_62	0.3846751929215463	0.08464543269820707
knr	BMS-754807_184	0.25181103187770176	0.049098126569054185
knr	BX-912_222	0.5575033375442574	0.07851379269207186
knr	BX795_1037	0.3705214784063025	0.06831732729651213
knr	Belinostat_274	0.5754666127689612	0.06745790808985877
knr	Bexarotene_186	0.218192953813897	0.07322527789882481
knr	Bicalutamide_150	0.13438113870845428	0.05506273458649392
knr	Bicalutamide_1502	0.109966212991448	0.031097347846919705
knr	Bleomycin (50 uM)_1378	0.4178153657966637	0.07484285556831534
knr	Bleomycin_190	0.3358630454479757	0.07623404814698226
knr	Bortezomib_104	0.3043998120386954	0.08486456596370219
knr	Bosutinib_1019	0.28856326721950937	0.07475192337052931
knr	Bryostatin 1_197	0.20480633301020226	0.058995939339666084
knr	CAY10603_276	0.6385057806927765	0.09422777584652718
knr	CCT-018159_1170	0.29913498112311115	0.0612092112589604
knr	CCT007093_1067	0.20554809277179412	0.05147189950290666
knr	CGP-082996_54	0.3806428763609878	0.11916356789507232
knr	CGP-60474_53	0.3964513101677121	0.09025779898774798
knr	CHIR-99021_1241	0.2919796799699563	0.048282300644377614
knr	CHIR-99021_154	0.2365784943433255	0.08004403140413989
knr	CI-1040_1015	0.4306141010775392	0.09934681323326404
knr	CMK_64	0.3548347938360546	0.10327144856795106
knr	CP466722_152	0.6491667854346007	0.12703926257670506
knr	CP724714_255	0.20385259408222264	0.09433628190399326
knr	CUDC-101_273	0.5877008551219733	0.10405119331695876
knr	CX-5461_300	0.43405536920389903	0.06687517424383521
knr	Cabozantinib_249	0.301690746528558	0.09830742547235363
knr	Cetuximab_1114	0.22403923179279545	0.06540997127696224
knr	Cisplatin_1005	0.28613256159625083	0.06870590770318233
knr	Crizotinib_37	0.48862461458938106	0.18093802950405047
knr	Cyclopamine_17	0.3045756348680944	0.14555033146147262
knr	Cytarabine_1006	0.3889723353444733	0.09194313751802187
knr	DMOG_165	0.39447302032581655	0.0721778561910314
knr	Dabrafenib_1373	0.5930118178108951	0.10452664671612702
knr	Dacinostat_200	0.4650667516657733	0.0863831782080133
knr	Dactolisib_1057	0.20144411721629452	0.02910085062300464
knr	Daporinad_1248	0.625676046098812	0.06437018031368957
knr	Dasatinib_51	0.32040246839493497	0.09160127036364826
knr	Docetaxel_1007	0.4304323543259082	0.06018040420727895
knr	Doramapimod_1042	0.1880838022008599	0.07061859842080923
knr	Doxorubicin_133	0.3103230831215268	0.05863134435947371
knr	EHT-1864_1069	0.2488898907008598	0.059008815400960576
knr	Elesclomol_1031	0.3127201322832716	0.07115617187537872
knr	Embelin_172	0.2905371338563221	0.0722869320772882
knr	Entinostat_88	0.3045686139365256	0.1132758715616818
knr	Enzastaurin_229	0.3048913399953825	0.0636943280894931
knr	Epothilone B_201	0.3083443006927273	0.07161910350683884
knr	Erlotinib_1	0.2799293225639657	0.17888544941516565
knr	Etoposide_134	0.37805537398899147	0.08739288893288033
knr	FH535_173	0.34091989777482656	0.07550896219350961
knr	FMK_231	0.2945508082556155	0.11183098764539848
knr	FR-180204_263	0.3271272227339961	0.09908114044520457
knr	FTI-277_166	0.15479238095961664	0.037022382232266435
knr	Fedratinib_306	0.6324693052174865	0.11732581624945693
knr	Foretinib_308	0.4092287501726176	0.08505019664671866
knr	GNF-2_52	0.3042293186602528	0.2030608177511975
knr	GSK1070916_226	0.5702549784522997	0.09885750893797528
knr	GSK1904529A_202	0.19322424814093087	0.07303116118334363
knr	GSK269962A_1192	0.21868444098009512	0.056505077081018026
knr	GSK269962A_127	0.1990042871602636	0.1151810677406438
knr	GSK319347A_91	0.15249963855041304	0.06614869503435447
knr	GSK429286A_230	0.2233419850099568	0.07672800343739218
knr	GSK650394_177	0.2758428577359245	0.06918846325830079
knr	GSK690693_326	0.3780562604908781	0.1104477779889825
knr	GW-2580_193	0.1006641215108923	0.0979539382150987
knr	GW441756_1023	0.13789228438632853	0.0573389646172641
knr	GW843682X_87	0.3808700697948769	0.12395868695992482
knr	Gefitinib_1010	0.3261420793094145	0.08918530520932932
knr	Gemcitabine_135	0.35408260951903914	0.06972595839283498
knr	Genentech Cpd 10_225	0.4800777331226384	0.09845503310385936
knr	HG-5-113-01_1142	0.2020466297998704	0.06907250649742291
knr	HG-5-88-01_1143	0.22500481398592692	0.09940682313490228
knr	HG6-64-1_159	0.361449341550086	0.08329025797696273
knr	I-BET-762_275	0.7251933888106871	0.06193419700874701
knr	ICL1100013_1266	0.3580693181481331	0.08287955376144693
knr	IOX2_1230	0.11148623110601392	0.04901089603148033
knr	IPA-3_176	0.3307571598292124	0.0766269565911376
knr	Idelalisib_238	0.37431826983527294	0.10145437229307802
knr	Imatinib_34	0.4014707766055115	0.1863643842551973
knr	Ispinesib Mesylate_208	0.481804898878256	0.08794136885321878
knr	JNK Inhibitor VIII_1043	0.21307333538629494	0.061537075959230414
knr	JNK-9L_157	0.19118440915335214	0.04305036104814125
knr	JQ12_164	0.32440185762221635	0.07101112862931673
knr	JQ1_1218	0.2411446004963379	0.08243059643607613
knr	JQ1_163	0.2886504164555871	0.07296629114823977
knr	JW-7-24-1_256	0.5829044933976244	0.0809814686486442
knr	JW-7-52-1_83	0.4057588897963874	0.12045737639574215
knr	KIN001-236_286	0.4280022471024929	0.10491307766814792
knr	KIN001-244_287	0.395231690592601	0.0771731259477569
knr	KIN001-260_290	0.3991036515242025	0.07500860431033647
knr	KIN001-266_291	0.20581587608429486	0.04938091984988552
knr	KIN001-270_345	0.27702144251638605	0.08320493376021122
knr	KU-55933_1030	0.20579300612798704	0.03232547607573462
knr	LFM-A13_192	0.2143064812983365	0.07353266839980792
knr	Lapatinib_119	0.380428946053946	0.2135303353114828
knr	Lenalidomide_1020	0.20574731292064508	0.11536491104231322
knr	Lestaurtinib_1024	0.41790954865705393	0.059714887337816526
knr	Linifanib_277	0.3118386818860928	0.13219085540078732
knr	Linsitinib_185	0.2318957751927296	0.07950439281421025
knr	Luminespib_194	0.2724624824643842	0.057622371085228385
knr	MG-132_9	0.3040327320506568	0.07713024471793019
knr	MK-2206_1053	0.3020141659270062	0.08685664490543413
knr	MPS-1-IN-1_294	0.3693355788065645	0.0790805439710537
knr	Masitinib_292	0.371376418854601	0.10791911564559308
knr	Methotrexate_1008	0.605722231839076	0.08743562424395693
knr	Midostaurin_153	0.3338184280140054	0.04613508162384629
knr	Mitomycin-C_136	0.35260953298571074	0.08380459472679097
knr	Motesanib_1029	0.1492797482595509	0.07616320572280988
knr	NG-25_260	0.4899882977607299	0.1143223425749714
knr	NPK76-II-72-1_257	0.6141348897689576	0.11126304683224954
knr	NSC-207895_269	0.19218056921532625	0.04488223413355984
knr	NSC-87877_147	0.18768018574389952	0.06473371732087932
knr	NU7441_1038	0.2155540418277488	0.07896303382000686
knr	NVP-BHG712_295	0.5021568488583055	0.08932752129451778
knr	NVP-TAE684_35	0.4452752615793107	0.1137717015930258
knr	Navitoclax_1011	0.5321063692888777	0.10390773201181522
knr	Nilotinib_1013	0.5299091505954511	0.2569226510016052
knr	Nutlin-3a_1047	0.3894353753026685	0.08983800327249
knr	OSI-027_299	0.5768529194856473	0.08184935148159532
knr	OSI-930_298	0.2817054018839268	0.11911223689019397
knr	OSU-03012_167	0.2584891979445943	0.061940303318559785
knr	Obatoclax Mesylate_182	0.4139512309754092	0.06858236400053183
